0.415 / 9.77609 V / 102.709 uA
0.416 / 9.77813 V / 101.776 uA
0.417 / 9.78015 V / 100.85 uA
0.418 / 9.78214 V / 99.9335 uA
0.419 / 9.78413 V / 99.025 uA
0.42 / 9.78609 V / 98.1248 uA
0.421 / 9.78803 V / 97.2327 uA
0.422 / 9.78996 V / 96.3488 uA
0.423 / 9.79187 V / 95.4729 uA
0.424 / 9.79376 V / 94.605 uA
0.425 / 9.79564 V / 93.7449 uA
0.426 / 9.79749 V / 92.8927 uA
0.427 / 9.79933 V / 92.0482 uA
0.428 / 9.80116 V / 91.2114 uA
0.429 / 9.80297 V / 90.3822 uA
0.43 / 9.80476 V / 89.5606 uA
0.431 / 9.80653 V / 88.7464 uA
0.432 / 9.80829 V / 87.9396 uA
0.433 / 9.81003 V / 87.1401 uA
0.434 / 9.81176 V / 86.348 uA
0.435 / 9.81347 V / 85.563 uA
0.436 / 9.81517 V / 84.7851 uA
0.437 / 9.81685 V / 84.0144 uA
0.438 / 9.81851 V / 83.2506 uA
0.439 / 9.82016 V / 82.4938 uA
0.44 / 9.8218 V / 81.7438 uA
0.441 / 9.82342 V / 81.0007 uA
0.442 / 9.82502 V / 80.2643 uA
0.443 / 9.82661 V / 79.5347 uA
0.444 / 9.82819 V / 78.8116 uA
0.445 / 9.82975 V / 78.0951 uA
0.446 / 9.8313 V / 77.3852 uA
0.447 / 9.83283 V / 76.6817 uA
0.448 / 9.83435 V / 75.9846 uA
0.449 / 9.83586 V / 75.2938 uA
0.45 / 9.83735 V / 74.6093 uA
0.451 / 9.83883 V / 73.9311 uA
0.452 / 9.8403 V / 73.259 uA
0.453 / 9.84175 V / 72.593 uA
0.454 / 9.84319 V / 71.933 uA
0.455 / 9.84461 V / 71.2791 uA
0.456 / 9.84602 V / 70.6311 uA
0.457 / 9.84742 V / 69.989 uA
0.458 / 9.84881 V / 69.3527 uA
0.459 / 9.85019 V / 68.7223 uA
0.46 / 9.85155 V / 68.0975 uA
0.461 / 9.8529 V / 67.4784 uA
0.462 / 9.85423 V / 66.865 uA
0.463 / 9.85556 V / 66.2571 uA
0.464 / 9.85687 V / 65.6548 uA
0.465 / 9.85817 V / 65.0579 uA
0.466 / 9.85946 V / 64.4665 uA
0.467 / 9.86074 V / 63.8804 uA
0.468 / 9.86201 V / 63.2997 uA
0.469 / 9.86326 V / 62.7243 uA
0.47 / 9.8645 V / 62.154 uA
0.471 / 9.86574 V / 61.589 uA
0.472 / 9.86696 V / 61.0291 uA
0.473 / 9.86817 V / 60.4743 uA
0.474 / 9.86936 V / 59.9245 uA
0.475 / 9.87055 V / 59.3798 uA
0.476 / 9.87173 V / 58.8399 uA
0.477 / 9.8729 V / 58.305 uA
0.478 / 9.87405 V / 57.775 uA
0.479 / 9.8752 V / 57.2498 uA
0.48 / 9.87633 V / 56.7293 uA
0.481 / 9.87745 V / 56.2136 uA
0.482 / 9.87857 V / 55.7026 uA
0.483 / 9.87967 V / 55.1962 uA
0.484 / 9.88077 V / 54.6944 uA
0.485 / 9.88185 V / 54.1972 uA
0.486 / 9.88292 V / 53.7045 uA
0.487 / 9.88399 V / 53.2162 uA
0.488 / 9.88504 V / 52.7325 uA
0.489 / 9.88609 V / 52.2531 uA
0.49 / 9.88712 V / 51.778 uA
0.491 / 9.88815 V / 51.3073 uA
0.492 / 9.88917 V / 50.8409 uA
0.493 / 9.89017 V / 50.3787 uA
0.494 / 9.89117 V / 49.9207 uA
0.495 / 9.89216 V / 49.4669 uA
0.496 / 9.89314 V / 49.0172 uA
0.497 / 9.89411 V / 48.5716 uA
0.498 / 9.89508 V / 48.13 uA
0.499 / 9.89603 V / 47.6925 uA
0.5 / 9.89698 V / 47.2589 uA
0.501 / 9.89791 V / 46.8293 uA
0.502 / 9.89884 V / 46.4036 uA
0.503 / 9.89976 V / 45.9817 uA
0.504 / 9.90067 V / 45.5637 uA
0.505 / 9.90157 V / 45.1495 uA
0.506 / 9.90247 V / 44.739 uA
0.507 / 9.90336 V / 44.3323 uA
0.508 / 9.90423 V / 43.9293 uA
0.509 / 9.9051 V / 43.5299 uA
0.51 / 9.90597 V / 43.1342 uA
0.511 / 9.90682 V / 42.7421 uA
0.512 / 9.90767 V / 42.3535 uA
0.513 / 9.90851 V / 41.9685 uA
0.514 / 9.90934 V / 41.587 uA
0.515 / 9.91016 V / 41.2089 uA
0.516 / 9.91098 V / 40.8343 uA
0.517 / 9.91179 V / 40.463 uA
0.518 / 9.91259 V / 40.0952 uA
0.519 / 9.91339 V / 39.7307 uA
0.52 / 9.91417 V / 39.3695 uA
0.521 / 9.91495 V / 39.0116 uA
0.522 / 9.91573 V / 38.657 uA
0.523 / 9.91649 V / 38.3055 uA
0.524 / 9.91725 V / 37.9573 uA
0.525 / 9.91801 V / 37.6122 uA
0.526 / 9.91875 V / 37.2703 uA
0.527 / 9.91949 V / 36.9315 uA
0.528 / 9.92022 V / 36.5957 uA
0.529 / 9.92095 V / 36.263 uA
0.53 / 9.92167 V / 35.9334 uA
0.531 / 9.92238 V / 35.6067 uA
0.532 / 9.92308 V / 35.283 uA
0.533 / 9.92378 V / 34.9623 uA
0.534 / 9.92448 V / 34.6444 uA
0.535 / 9.92516 V / 34.3295 uA
0.536 / 9.92584 V / 34.0174 uA
0.537 / 9.92652 V / 33.7081 uA
0.538 / 9.92718 V / 33.4017 uA
0.539 / 9.92785 V / 33.0981 uA
0.54 / 9.9285 V / 32.7972 uA
0.541 / 9.92915 V / 32.499 uA
